code,type,units,manufacturer,range,capacity
A319,jet,metric,Airbus,6850,30190
A320,jet,metric,Airbus,6100,27200
A321,jet,metric,Airbus,5950,30030
A330-300,jet,metric,Airbus,11750,97530
A340-600,jet,metric,Airbus,14630,195520
A350-900,jet,metric,Airbus,15000,138000
737-800,jet,imperial,Boeing,3580,6875
747-8,jet,imperial,Boeing,6100,48445
757-200,jet,imperial,Boeing,3912,11466
767-300ER,jet,imperial,Boeing,6890,24140
777-300ER,jet,imperial,Boeing,8480,47890
787-9,jet,imperial,Boeing,8790,33384
BAE146,turboprop,metric,BAE,2909,11700
DC8,jet,imperial,Douglas,4800,7790
F50,turboprop,metric,Fokker,2055,5136
MD11,jet,imperial,McDonallDouglas,12670,30720
A400M,turboprop,metric,Airbus,3298,8242
C212,turboprop,metric,Airbus,1811,4526
V22,turboprop,imperial,Boeing,1011,2015
