country,iataCode,icaoCode,name,latitudeDegree,longitudeDegree,elevationFeet,timeZoneCode,timeZoneName,continent,isoCountry,isoRegion,municipality,type,scheduledService
Afghanistan,URZ,OARG,Orūzgān Airport,32.90299988,66.63089752,6725,Asia/Kabul,Afghanistan Time,AS,AF,AF-ORU,Orūzgān,small_airport,no
Afghanistan,OLR,,Salerno Landing Zone Airport,33.36380005,69.95610046,3780,Asia/Kabul,Afghanistan Time,AS,AF,AF-PIA,,small_airport,no
Afghanistan,DWR,,Dywer Airbase,31,64,2380,Asia/Kabul,Afghanistan Time,AS,AF,AF-HEL,Camp Dwyer,small_airport,no
Afghanistan,OAA,OASH,Shank Air Base,33.9225,69.07722222,6890,Asia/Kabul,Afghanistan Time,AS,AF,AF-LOW,,small_airport,no
Afghanistan,BIN,OABN,Bamiyan Airport,34.81700134,67.81700134,8367,Asia/Kabul,Afghanistan Time,AS,AF,AF-BAM,Bamiyan,small_airport,no
Afghanistan,BST,OABT,Bost Airport,31.55970001,64.36499786,2464,Asia/Kabul,Afghanistan Time,AS,AF,AF-HEL,Bost,small_airport,no
Afghanistan,CCN,OACC,Chakcharan Airport,34.53300095,65.26699829,7383,Asia/Kabul,Afghanistan Time,AS,AF,AF-GHO,Chakcharan,small_airport,no
Afghanistan,SBF,OADS,Sardeh Band Airport,33.3207016,68.6364975,6971,Asia/Kabul,Afghanistan Time,AS,AF,AF-GHA,Sardeh Band,small_airport,no
Afghanistan,DAZ,OADZ,Darwaz Airport,38.46110153,70.88249969,5250,Asia/Kabul,Afghanistan Time,AS,AF,AF-BDS,Darwaz,small_airport,no
Afghanistan,FAH,OAFR,Farah Airport,32.36700058,62.18299866,3083,Asia/Kabul,Afghanistan Time,AS,AF,AF-FRA,Farah,small_airport,no
Afghanistan,FBD,OAFZ,Faizabad Airport,37.12110138,70.51809692,3872,Asia/Kabul,Afghanistan Time,AS,AF,AF-BDS,Faizabad,small_airport,yes
Afghanistan,GZI,OAGN,Ghazni Airport,33.53120041,68.41290283,7150,Asia/Kabul,Afghanistan Time,AS,AF,AF-GHA,Ghazni,small_airport,no
Afghanistan,KWH,OAHN,Khwahan Airport,37.88299942,70.21700287,3593,Asia/Kabul,Afghanistan Time,AS,AF,AF-BDS,Khwahan,small_airport,no
Afghanistan,HEA,OAHR,Herat Airport,34.20999908,62.22829819,3206,Asia/Kabul,Afghanistan Time,AS,AF,AF-HER,,medium_airport,yes
Afghanistan,OAI,OAIX,Bagram Air Base,34.94609833,69.26499939,4895,Asia/Kabul,Afghanistan Time,AS,AF,AF-PAR,Bagram,medium_airport,no
Afghanistan,JAA,OAJL,Jalalabad Airport,34.39979935,70.49859619,1814,Asia/Kabul,Afghanistan Time,AS,AF,AF-NAN,,medium_airport,no
Afghanistan,GRG,OAGZ,Gardez Airport,33.63150024,69.23940277,7790,Asia/Kabul,Afghanistan Time,AS,AF,AF-PIA,Gardez,small_airport,no
Afghanistan,KBL,OAKB,Kabul International Airport,34.5658989,69.21230316,5877,Asia/Kabul,Afghanistan Time,AS,AF,AF-KAB,Kabul,medium_airport,yes
Afghanistan,KDH,OAKN,Kandahar Airport,31.50580025,65.84780121,3337,Asia/Kabul,Afghanistan Time,AS,AF,AF-KAN,,medium_airport,no
Afghanistan,KHT,OAKS,Khost Airport,33.33340073,69.95200348,3756,Asia/Kabul,Afghanistan Time,AS,AF,AF-PIA,Khost,small_airport,yes
Afghanistan,MMZ,OAMN,Maimana Airport,35.93080139,64.7609024,2743,Asia/Kabul,Afghanistan Time,AS,AF,AF-FYB,,medium_airport,no
Afghanistan,MZR,OAMS,Mazar I Sharif Airport,36.70690155,67.20970154,1284,Asia/Kabul,Afghanistan Time,AS,AF,AF-BAL,,medium_airport,yes
Afghanistan,URN,OAOG,Urgun Airport,32.93180084,69.15630341,7300,Asia/Kabul,Afghanistan Time,AS,AF,AF-PKA,Urgun,small_airport,no
